g,z,Qz_numeric
1.000000000000000056e-01,6.556266383507755258e+00,6.446646480533502199e+01
1.155555555555555641e-01,6.381070102813421130e+00,5.392066062235300450e+01
1.311111111111111227e-01,6.214859407477681508e+00,4.593018552405680310e+01
1.466666666666666674e-01,6.056723348869070378e+00,3.968050149225632595e+01
1.622222222222222121e-01,5.905891474498704774e+00,3.466938556151433204e+01
1.777777777777777846e-01,5.761706452809854717e+00,3.057035516000894049e+01
1.933333333333333293e-01,5.623603106051305645e+00,2.716200442520743863e+01
2.088888888888889017e-01,5.491092124179634659e+00,2.428890070227395981e+01
2.244444444444444464e-01,5.363747253853667907e+00,2.183873392809232072e+01
2.399999999999999911e-01,5.241195104986038800e+00,1.972834754653263190e+01
2.555555555555555358e-01,5.123106954962593385e+00,1.789486808299045606e+01
2.711111111111110805e-01,5.009192095702934999e+00,1.628988665736130770e+01
2.866666666666666252e-01,4.899192385286820439e+00,1.487553367347515909e+01
3.022222222222222254e-01,4.792877749416219579e+00,1.362176506525258723e+01
3.177777777777777701e-01,4.690042438702316296e+00,1.250444514617754344e+01
3.333333333333333703e-01,4.590501892464925682e+00,1.150396604785441745e+01
3.488888888888889150e-01,4.494090093029744715e+00,1.060423633063578563e+01
3.644444444444444597e-01,4.400657319593801020e+00,9.791928597024934788e+00
3.800000000000000044e-01,4.310068229828878827e+00,9.055911874966682262e+00
3.955555555555555491e-01,4.222200212085557069e+00,8.386817987826589160e+00
4.111111111111110938e-01,4.136941962478536183e+00,7.776706405238086539e+00
4.266666666666666385e-01,4.054192250098769712e+00,7.218802482711338619e+00
4.422222222222221832e-01,3.973858840713690110e+00,6.707291001362135852e+00
4.577777777777777279e-01,3.895857555031311037e+00,6.237151892918290308e+00
4.733333333333332726e-01,3.820111442256602707e+00,5.804028426226181203e+00
4.888888888888889284e-01,3.746550053517509138e+00,5.404120640761789218e+00
5.044444444444444731e-01,3.675108802987770318e+00,5.034098581191415178e+00
5.200000000000000178e-01,3.605728407348369302e+00,4.691031204018258904e+00
5.355555555555555625e-01,3.538354396749947561e+00,4.372327744306403474e+00
5.511111111111111072e-01,3.472936692792937041e+00,4.075689120952574740e+00
5.666666666666666519e-01,3.409429251358920165e+00,3.799067443566172653e+00
5.822222222222221966e-01,3.347789770548280863e+00,3.540632105014651199e+00
5.977777777777777413e-01,3.287979466679828544e+00,3.298741288659811755e+00
6.133333333333332860e-01,3.229962924518755329e+00,3.071917909380772027e+00
6.288888888888888307e-01,3.173708031945421837e+00,2.858829261143113865e+00
6.444444444444443754e-01,3.119186014636820214e+00,2.658269741928620533e+00
6.599999999999999201e-01,3.066371593730079947e+00,2.469146164685298572e+00
