log10_inverse_openness,sparse_log10_bound,history_log10_bound,sparse_index,history_index
1.0,0.0,0.0,0,0
1.05,0.0,0.0,0,0
1.1,0.0,0.0,0,0
1.15,0.0,0.0,0,0
1.2,0.0,0.0,0,0
1.25,0.0,0.0,0,0
1.3,0.0,0.0,0,0
1.35,0.0,0.0,0,0
1.4,0.0,0.0,0,0
1.45,0.0,0.0,0,0
1.5,0.0,0.0,0,0
1.55,0.0,-0.044850021680094,0,1
1.6,0.0,-0.09485002168009404,0,1
1.65,0.0,-0.14485002168009387,0,1
1.7000000000000002,0.0,-0.19485002168009413,0,1
1.75,0.0,-0.24485002168009395,0,1
1.8,0.0,-0.294850021680094,0,1
1.85,0.0,-0.34485002168009404,0,1
1.9,0.0,-0.44359167296101853,0,2
1.9500000000000002,0.0,-0.5435916729610191,0,2
2.0,0.0,-0.6435916729610187,0,2
2.05,0.0,-0.7435916729610184,0,2
2.1,0.0,-0.8866868216245472,0,3
2.1500000000000004,0.0,-1.0366868216245475,0,3
2.2,0.0,-1.186686821624547,0,3
2.25,0.0,-1.3486407184957505,0,4
2.3,0.0,-1.5486407184957498,0,4
2.35,0.0,-1.7486407184957509,0,4
2.4000000000000004,0.0,-1.948640718495752,0,4
2.45,0.0,-2.1904007531839014,0,5
2.5,0.0,-2.4404007531839014,0,5
2.55,0.0,-2.6904007531839014,0,5
2.6,0.0,-2.9617615432158306,0,6
2.6500000000000004,0.0,-3.2617615432158313,0,6
2.7,0.0,-3.561761543215832,0,6
2.75,0.0,-3.861761543215829,0,6
2.8,0.0,-4.2028496508178534,0,7
2.85,0.0,-4.552849650817855,0,7
2.9000000000000004,0.0,-4.90284965081786,0,7
2.95,0.0,-5.252849650817858,0,7
3.0,0.0,-5.646201071612651,0,8
3.0500000000000003,0.0,-6.0462010716126535,0,8
3.1,0.0,-6.446201071612652,0,8
3.15,0.0,-6.846201071612651,0,8
3.2,0.0,-7.270109812556971,0,9
3.25,0.0,-7.72010981255697,0,9
3.3000000000000003,0.0,-8.170109812556973,0,9
3.35,0.0,-8.620109812556972,0,9
3.4000000000000004,0.0,-9.070109812556971,0,9
3.45,0.0,-9.552638119353677,0,10
3.5,0.0,-10.052638119353677,0,10
3.5500000000000003,0.0,-10.552638119353677,0,10
3.6,0.0,-11.052638119353677,0,10
3.6500000000000004,0.0,-11.552638119353677,0,10
3.7,0.0,-12.07484872828482,0,11
3.75,0.0,-12.624848728284817,0,11
3.8000000000000003,0.0,-13.174848728284822,0,11
3.85,0.0,-13.724848728284819,0,11
3.9000000000000004,0.0,-14.274848728284823,0,11
3.95,0.0,-14.82484872828482,0,11
4.0,0.0,-15.422298434386612,0,12
4.050000000000001,0.0,-16.02229843438662,0,12
4.1,0.0,-16.622298434386607,0,12
4.15,0.0,-17.222298434386616,0,12
4.2,0.0,-17.822298434386617,0,12
4.25,0.0,-18.43495580506044,0,13
4.300000000000001,0.0,-19.084955805060446,0,13
4.35,0.0,-19.734955805060437,0,13
4.4,0.0,-20.384955805060443,0,13
4.45,0.0,-21.03495580506044,0,13
4.5,0.0,-21.68495580506044,0,13
4.550000000000001,0.0,-22.35630901657236,0,14
4.6,0.0,-23.056309016572342,0,14
4.65,0.0,-23.75630901657236,0,14
4.7,0.0,-24.456309016572348,0,14
4.75,0.0,-25.15630901657235,0,14
4.800000000000001,0.0,-25.856309016572368,0,14
4.85,0.0,-26.582326451840956,0,15
4.9,0.0,-27.332326451840956,0,15
4.95,-0.03658885110069754,-28.082326451840956,1,15
5.0,-0.08658885110069736,-28.832326451840956,1,15
5.05,-0.13658885110069718,-29.582326451840956,1,15
5.1000000000000005,-0.1865888511006979,-30.33232645184097,1,15
5.15,-0.23658885110069772,-31.110592662088145,1,16
5.2,-0.28658885110069754,-31.910592662088142,1,16
5.25,-0.33658885110069736,-32.71059266208814,1,16
5.3,-0.3865888511006972,-33.510592662088136,1,16
5.3500000000000005,-0.4365888511006979,-34.31059266208815,1,16
5.4,-0.4865888511006977,-35.110592662088145,1,16
5.45,-0.5365888511006975,-35.93969339004849,1,17
5.5,-0.5865888511006974,-36.789693390048484,1,17
5.55,-0.6365888511006972,-37.63969339004848,1,17
5.6000000000000005,-0.6865888511006979,-38.48969339004849,1,17
5.65,-0.7365888511006977,-39.339693390048495,1,17
5.7,-0.7865888511006975,-40.18969339004849,1,17
5.75,-0.8365888511006974,-41.06881416844066,1,18
5.800000000000001,-0.8865888511006981,-41.968814168440666,1,18
5.8500000000000005,-0.9365888511006979,-42.86881416844067,1,18
5.9,-0.9865888511006977,-43.76881416844066,1,18
5.95,-1.0365888511006975,-44.66881416844067,1,18
6.0,-1.0865888511006974,-45.56881416844066,1,18
6.050000000000001,-1.136588851100698,-46.49749170614693,1,19
6.1000000000000005,-1.186588851100698,-47.44749170614692,1,19
6.15,-1.2365888511006977,-48.39749170614692,1,19
6.2,-1.2865888511006975,-49.34749170614691,1,19
6.25,-1.3365888511006974,-50.297491706146914,1,19
6.300000000000001,-1.386588851100698,-51.24749170614693,1,19
6.3500000000000005,-1.436588851100698,-52.225464991325026,1,20
6.4,-1.4865888511006977,-53.22546499132501,1,20
6.45,-1.5365888511006975,-54.22546499132501,1,20
6.5,-1.5865888511006974,-55.22546499132501,1,20
6.550000000000001,-1.636588851100698,-56.22546499132501,1,20
6.6000000000000005,-1.686588851100698,-57.22546499132501,1,20
6.65,-1.7365888511006977,-58.252588112968155,1,21
6.7,-1.7865888511006975,-59.30258811296817,1,21
6.75,-1.8365888511006974,-60.35258811296815,1,21
6.800000000000001,-1.886588851100698,-61.40258811296816,1,21
6.8500000000000005,-1.936588851100698,-62.45258811296817,1,21
6.9,-1.9865888511006977,-63.502588112968155,1,21
6.95,-2.0365888511006975,-64.57878003344602,1,22
7.0,-2.0865888511006974,-65.67878003344602,1,22
7.050000000000001,-2.136588851100698,-66.77878003344604,1,22
7.1000000000000005,-2.186588851100698,-67.87878003344603,1,22
7.15,-2.2365888511006977,-68.97878003344603,1,22
7.2,-2.2865888511006975,-70.07878003344602,1,22
7.25,-2.3365888511006974,-71.20399599681765,1,23
7.300000000000001,-2.386588851100698,-72.35399599681766,1,23
7.3500000000000005,-2.436588851100698,-73.50399599681766,1,23
7.4,-2.4865888511006977,-74.65399599681767,1,23
7.45,-2.5365888511006975,-75.80399599681765,1,23
7.5,-2.5865888511006974,-76.95399599681765,1,23
7.550000000000001,-2.636588851100698,-78.1282114064638,1,24
7.6000000000000005,-2.686588851100698,-79.3282114064638,1,24
7.65,-2.7365888511006977,-80.52821140646381,1,24
7.7,-2.7865888511006975,-81.7282114064638,1,24
7.75,-2.8365888511006974,-82.92821140646379,1,24
7.800000000000001,-2.886588851100698,-84.1282114064638,1,24
7.8500000000000005,-2.936588851100698,-85.35141280404842,1,25
7.9,-2.9865888511006977,-86.60141280404842,1,25
7.95,-3.0365888511006975,-87.85141280404842,1,25
8.0,-3.0865888511006974,-89.10141280404842,1,25
8.05,-3.136588851100698,-90.35141280404845,1,25
8.100000000000001,-3.186588851100699,-91.60141280404845,1,25
8.15,-3.2365888511006977,-92.87359285483167,1,26
8.2,-3.2865888511006967,-94.17359285483165,1,26
8.25,-3.3365888511006974,-95.47359285483167,1,26
8.3,-3.386588851100698,-96.77359285483168,1,26
8.350000000000001,-3.436588851100699,-98.07359285483169,1,26
8.4,-3.4865888511006977,-99.37359285483167,1,26
8.45,-3.5365888511006967,-100.69474757581361,1,27
8.5,-3.5865888511006974,-102.04474757581363,1,27
8.55,-3.636588851100698,-103.39474757581365,1,27
8.600000000000001,-3.686588851100699,-104.74474757581368,1,27
8.65,-3.7365888511006977,-106.09474757581364,1,27
8.7,-3.7865888511006967,-107.44474757581361,1,27
8.75,-3.8365888511006974,-108.81487481123764,1,28
8.8,-3.886588851100698,-110.21487481123768,1,28
8.850000000000001,-3.936588851100699,-111.61487481123768,1,28
8.9,-3.9865888511006977,-113.01487481123766,1,28
8.95,-4.036588851100697,-114.41487481123761,1,28
9.0,-4.086588851100697,-115.81487481123764,1,28
9.05,-4.136588851100698,-117.23397339787013,1,29
9.1,-4.186588851100697,-118.68397339787006,1,29
9.15,-4.236588851100698,-120.13397339787011,1,29
9.200000000000001,-4.286588851100698,-121.5839733978701,1,29
9.25,-4.336588851100697,-123.03397339787008,1,29
9.3,-4.386588851100698,-124.48397339787013,1,29
9.35,-4.436588851100697,-125.95204270980125,1,30
9.4,-4.486588851100698,-127.45204270980125,1,30
9.450000000000001,-4.536588851100698,-128.9520427098013,1,30
9.5,-4.586588851100697,-130.45204270980125,1,30
9.55,-4.636588851100698,-131.95204270980125,1,30
9.6,-4.686588851100697,-133.45204270980125,1,30
9.65,-4.736588851100698,-134.9690824111217,1,31
9.700000000000001,-4.786588851100698,-136.5190824111217,1,31
9.75,-4.836588851100697,-138.06908241112166,1,31
9.8,-4.886588851100698,-139.61908241112167,1,31
9.85,-4.936588851100697,-141.16908241112162,1,31
9.9,-4.986588851100698,-142.7190824111217,1,31
9.950000000000001,-5.047225087036042,-144.28509232199502,2,32
10.0,-5.147225087036039,-145.885092321995,2,32
10.05,-5.247225087036041,-147.485092321995,2,32
10.1,-5.347225087036039,-149.08509232199498,2,32
10.15,-5.44722508703604,-150.685092321995,2,32
10.200000000000001,-5.547225087036042,-152.28509232199502,2,32
10.25,-5.647225087036039,-153.9000723463602,2,33
10.3,-5.747225087036041,-155.55007234636022,2,33
10.35,-5.847225087036039,-157.2000723463602,2,33
10.4,-5.94722508703604,-158.85007234636018,2,33
10.450000000000001,-6.047225087036042,-160.5000723463602,2,33
10.5,-6.147225087036039,-162.1500723463602,2,33
10.55,-6.247225087036041,-163.81402243301415,2,34
10.600000000000001,-6.347225087036042,-165.51402243301413,2,34
10.65,-6.44722508703604,-167.21402243301412,2,34
10.700000000000001,-6.547225087036042,-168.9140224330141,2,34
10.75,-6.647225087036039,-170.6140224330141,2,34
10.8,-6.747225087036041,-172.31402243301415,2,34
10.850000000000001,-6.847225087036042,-174.0269425547184,2,35
10.9,-6.94722508703604,-175.77694255471835,2,35
10.950000000000001,-7.047225087036042,-177.5269425547184,2,35
11.0,-7.147225087036039,-179.27694255471835,2,35
11.05,-7.247225087036041,-181.02694255471835,2,35
11.100000000000001,-7.347225087036042,-182.7769425547184,2,35
11.15,-7.44722508703604,-184.53883269701004,2,36
11.200000000000001,-7.547225087036042,-186.33883269701005,2,36
11.25,-7.647225087036039,-188.13883269701,2,36
11.3,-7.747225087036041,-189.93883269701,2,36
11.350000000000001,-7.847225087036042,-191.73883269701003,2,36
11.4,-7.94722508703604,-193.53883269701004,2,36
11.450000000000001,-8.047225087036042,-195.3496928522232,2,37
11.5,-8.14722508703604,-197.19969285222317,2,37
11.55,-8.24722508703604,-199.0496928522232,2,37
11.600000000000001,-8.347225087036042,-200.8996928522232,2,37
11.65,-8.44722508703604,-202.74969285222318,2,37
11.700000000000001,-8.547225087036042,-204.5996928522232,2,37
11.75,-8.64722508703604,-206.45952301630126,2,38
11.8,-8.74722508703604,-208.3595230163013,2,38
11.850000000000001,-8.847225087036042,-210.25952301630133,2,38
11.9,-8.94722508703604,-212.15952301630125,2,38
11.950000000000001,-9.047225087036042,-214.05952301630128,2,38
12.0,-9.14722508703604,-215.95952301630126,2,38
12.05,-9.24722508703604,-217.86832318710117,2,39
12.100000000000001,-9.347225087036042,-219.81832318710116,2,39
12.15,-9.44722508703604,-221.76832318710115,2,39
12.200000000000001,-9.547225087036042,-223.7183231871012,2,39
12.25,-9.64722508703604,-225.66832318710112,2,39
12.3,-9.74722508703604,-227.61832318710117,2,39
12.350000000000001,-9.847225087036042,-229.57609336349213,2,40
12.4,-9.94722508703604,-231.57609336349208,2,40
12.450000000000001,-10.047225087036042,-233.57609336349213,2,40
12.5,-10.14722508703604,-235.57609336349208,2,40
12.55,-10.24722508703604,-237.57609336349208,2,40
12.600000000000001,-10.347225087036042,-239.57609336349213,2,40
12.65,-10.44722508703604,-241.58283354487844,2,41
12.700000000000001,-10.547225087036042,-243.6328335448785,2,41
12.75,-10.64722508703604,-245.68283354487846,2,41
12.8,-10.74722508703604,-247.73283354487853,2,41
12.850000000000001,-10.847225087036042,-249.78283354487849,2,41
12.9,-10.94722508703604,-251.83283354487844,2,41
12.950000000000001,-11.047225087036042,-253.88854373094705,2,42
13.0,-11.14722508703604,-255.98854373094696,2,42
13.05,-11.24722508703604,-258.088543730947,2,42
13.100000000000001,-11.347225087036042,-260.188543730947,2,42
13.15,-11.44722508703604,-262.288543730947,2,42
13.200000000000001,-11.547225087036042,-264.38854373094705,2,42
13.25,-11.64722508703604,-266.4932239215329,2,43
13.3,-11.74722508703604,-268.64322392153287,2,43
13.350000000000001,-11.847225087036042,-270.79322392153296,2,43
13.4,-11.94722508703604,-272.94322392153293,2,43
13.450000000000001,-12.047225087036042,-275.0932239215329,2,43
13.5,-12.14722508703604,-277.2432239215329,2,43
13.55,-12.24722508703604,-279.39687411654984,2,44
13.600000000000001,-12.347225087036042,-281.5968741165499,2,44
13.65,-12.44722508703604,-283.7968741165498,2,44
13.700000000000001,-12.547225087036042,-285.99687411654986,2,44
13.75,-12.64722508703604,-288.1968741165498,2,44
13.8,-12.74722508703604,-290.39687411654984,2,44
13.850000000000001,-12.847225087036042,-292.59949431595254,2,45
13.9,-12.94722508703604,-294.8494943159524,2,45
13.950000000000001,-13.047225087036042,-297.0994943159524,2,45
14.0,-13.14722508703604,-299.3494943159524,2,45
14.05,-13.24722508703604,-301.5994943159524,2,45
14.100000000000001,-13.347225087036042,-303.84949431595254,2,45
14.15,-13.44722508703604,-306.10108451971695,2,46
14.200000000000001,-13.547225087036042,-308.401084519717,2,46
14.25,-13.64722508703604,-310.70108451971697,2,46
14.3,-13.74722508703604,-313.00108451971704,2,46
14.350000000000001,-13.847225087036042,-315.301084519717,2,46
14.4,-13.94722508703604,-317.60108451971695,2,46
14.450000000000001,-14.047225087036042,-319.9016447278312,2,47
14.5,-14.14722508703604,-322.2516447278311,2,47
14.55,-14.24722508703604,-324.6016447278311,2,47
14.600000000000001,-14.347225087036042,-326.95164472783114,2,47
14.65,-14.44722508703604,-329.30164472783116,2,47
14.700000000000001,-14.547225087036042,-331.6516447278312,2,47
14.75,-14.64722508703604,-334.0016447278311,2,47
14.8,-14.74722508703604,-336.40117494028846,2,48
14.850000000000001,-14.847225087036042,-338.80117494028843,2,48
14.9,-14.94722508703604,-341.2011749402884,2,48
14.950000000000001,-15.047225087036042,-343.6011749402884,2,48
15.0,-15.14722508703604,-346.00117494028837,2,48
15.05,-15.24722508703604,-348.40117494028846,2,48
15.100000000000001,-15.347225087036042,-350.8496751570854,2,49
15.15,-15.44722508703604,-353.29967515708535,2,49
15.200000000000001,-15.547225087036042,-355.7496751570854,2,49
15.25,-15.64722508703604,-358.1996751570853,2,49
15.3,-15.74722508703604,-360.64967515708537,2,49
15.350000000000001,-15.847225087036042,-363.0996751570854,2,49
15.4,-15.94722508703604,-365.59714537822015,2,50
15.450000000000001,-16.04722508703604,-368.09714537822015,2,50
15.5,-16.14722508703604,-370.59714537822015,2,50
15.55,-16.247225087036043,-373.09714537822015,2,50
15.600000000000001,-16.347225087036044,-375.59714537822026,2,50
15.65,-16.44722508703604,-378.09714537822015,2,50
15.700000000000001,-16.54722508703604,-380.6435856036921,2,51
15.75,-16.64722508703604,-383.19358560369204,2,51
15.8,-16.747225087036043,-385.7435856036921,2,51
15.850000000000001,-16.847225087036044,-388.29358560369207,2,51
15.9,-16.94722508703604,-390.843585603692,2,51
15.950000000000001,-17.04722508703604,-393.3935856036921,2,51
16.0,-17.14722508703604,-395.9889958335005,2,52
16.05,-17.247225087036043,-398.5889958335005,2,52
16.1,-17.347225087036044,-401.18899583350054,2,52
16.15,-17.44722508703604,-403.78899583350045,2,52
16.200000000000003,-17.547225087036047,-406.3889958335006,2,52
16.25,-17.64722508703604,-408.9889958335005,2,52
16.3,-17.747225087036043,-411.6333760676453,2,53
16.35,-17.847225087036044,-414.2833760676453,2,53
16.4,-17.94722508703604,-416.93337606764516,2,53
16.450000000000003,-18.047225087036047,-419.58337606764536,2,53
16.5,-18.14722508703604,-422.2333760676452,2,53
16.55,-18.247225087036043,-424.8833760676453,2,53
16.6,-18.347225087036044,-427.57672630612626,2,54
16.65,-18.44722508703604,-430.2767263061261,2,54
16.700000000000003,-18.547225087036047,-432.97672630612635,2,54
16.75,-18.64722508703604,-435.67672630612617,2,54
16.8,-18.747225087036043,-438.3767263061262,2,54
16.85,-18.847225087036044,-441.07672630612626,2,54
16.9,-18.94722508703604,-443.819046548943,2,55
16.950000000000003,-19.047225087036047,-446.5690465489432,2,55
17.0,-19.14722508703604,-449.3190465489431,2,55
17.05,-19.247225087036043,-452.0690465489431,2,55
17.1,-19.347225087036044,-454.8190465489432,2,55
17.150000000000002,-19.447225087036045,-457.5690465489432,2,55
17.2,-19.54722508703604,-460.3603367960961,2,56
17.25,-19.64722508703604,-463.16033679609615,2,56
17.3,-19.747225087036043,-465.9603367960962,2,56
17.35,-19.847225087036044,-468.7603367960963,2,56
17.400000000000002,-19.947225087036045,-471.56033679609624,2,56
17.45,-20.04722508703604,-474.3603367960961,2,56
17.5,-20.14722508703604,-477.20059704758523,2,57
17.55,-20.247225087036043,-480.05059704758526,2,57
17.6,-20.347225087036044,-482.9005970475853,2,57
17.650000000000002,-20.447225087036045,-485.7505970475853,2,57
17.7,-20.54722508703604,-488.6005970475852,2,57
17.75,-20.64722508703604,-491.45059704758523,2,57
17.8,-20.747225087036043,-494.3398273034104,2,58
17.85,-20.847225087036044,-497.2398273034105,2,58
17.900000000000002,-20.947225087036045,-500.13982730341036,2,58
17.95,-21.04722508703604,-503.0398273034102,2,58
18.0,-21.14722508703604,-505.9398273034103,2,58
18.05,-21.247225087036043,-508.8398273034104,2,58
18.1,-21.347225087036044,-511.7780275635715,2,59
18.150000000000002,-21.447225087036045,-514.7280275635716,2,59
18.2,-21.54722508703604,-517.6780275635714,2,59
18.25,-21.64722508703604,-520.6280275635714,2,59
18.3,-21.747225087036043,-523.5780275635715,2,59
18.35,-21.847225087036044,-526.5280275635715,2,59
18.400000000000002,-21.947225087036045,-529.5151978280688,2,60
18.45,-22.04722508703604,-532.5151978280686,2,60
18.5,-22.14722508703604,-535.5151978280686,2,60
18.55,-22.247225087036043,-538.5151978280686,2,60
18.6,-22.347225087036044,-541.5151978280686,2,60
18.650000000000002,-22.447225087036045,-544.5151978280688,2,60
18.7,-22.54722508703604,-547.5513380969018,2,61
18.75,-22.64722508703604,-550.6013380969017,2,61
18.8,-22.747225087036043,-553.6513380969017,2,61
18.85,-22.847225087036044,-556.7013380969018,2,61
18.900000000000002,-22.947225087036045,-559.7513380969018,2,61
18.95,-23.04722508703604,-562.8013380969018,2,61
19.0,-23.14722508703604,-565.8864483700709,2,62
19.05,-23.247225087036043,-568.986448370071,2,62
19.1,-23.347225087036044,-572.0864483700709,2,62
19.150000000000002,-23.447225087036045,-575.186448370071,2,62
19.2,-23.54722508703604,-578.2864483700707,2,62
19.25,-23.64722508703604,-581.3864483700709,2,62
19.3,-23.747225087036043,-584.5205286475763,2,63
19.35,-23.847225087036044,-587.6705286475764,2,63
19.400000000000002,-23.947225087036045,-590.8205286475762,2,63
19.45,-24.04722508703604,-593.9705286475761,2,63
19.5,-24.14722508703604,-597.1205286475762,2,63
19.55,-24.247225087036043,-600.2705286475763,2,63
19.6,-24.347225087036044,-603.4535789294174,2,64
19.650000000000002,-24.447225087036045,-606.6535789294174,2,64
19.7,-24.54722508703604,-609.8535789294173,2,64
19.75,-24.64722508703604,-613.0535789294173,2,64
19.8,-24.747225087036043,-616.2535789294174,2,64
19.85,-24.847225087036044,-619.4535789294174,2,64
19.900000000000002,-24.947225087036045,-622.6855992155948,2,65
19.95,-25.04722508703604,-625.9355992155946,2,65
20.0,-25.14722508703604,-629.1855992155946,2,65
