t,selected,mass,export,input_monomers,input_molecules
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.659716430358632311e-01,3.058594904690002086e-10,9.999999999999996447e+00,2.921384972987592852e-09,1.659716430358631589e+00,9.958298582151788869e-01
3.319432860717264622e-01,5.649439647622744934e-10,9.999999999999996447e+00,1.108157151594772487e-08,3.319432860717264511e+00,1.991659716430358662e+00
4.979149291075897210e-01,7.844067145518108282e-10,9.999999999999998224e+00,2.367939099794859411e-08,4.979149291075898098e+00,2.987489574645539214e+00
6.638865721434529243e-01,9.703070803359250283e-10,9.999999999999998224e+00,4.003619731405377908e-08,6.638865721434530798e+00,3.983319432860718212e+00
8.298582151793161277e-01,1.127777749200557559e-09,9.999999999999998224e+00,5.957712953687161349e-08,8.298582151793162609e+00,4.979149291075897210e+00
9.958298582151794420e-01,1.261166467663235750e-09,1.000000000000000000e+01,8.181524007873011645e-08,9.958298582151797973e+00,5.974979149291078429e+00
1.000000000000000000e+00,1.264241092732261590e-09,9.999999999999996447e+00,8.240499380345937890e-08,1.000000000000000355e+01,6.000000000000001776e+00
1.161801501251042534e+00,1.374156082430964758e-09,1.000000000000000000e+01,1.063380501273854488e-07,1.161801501251042978e+01,6.970809007506256982e+00
1.327773144286905849e+00,1.469866223391084748e-09,1.000000000000000000e+01,1.327961611515494360e-07,1.327773144286906515e+01,7.966638865721436424e+00
1.493744787322769163e+00,1.550939436197399656e-09,1.000000000000000355e+01,1.608936080516706960e-07,1.493744787322770051e+01,8.962468723936616755e+00
1.659716430358632255e+00,1.619614142639646442e-09,1.000000000000000000e+01,1.903796875989178503e-07,1.659716430358633232e+01,9.958298582151794420e+00
1.825688073394495570e+00,1.677786443245287537e-09,1.000000000000000000e+01,2.210420365440876960e-07,1.825688073394497124e+01,1.095412844036697564e+01
1.991659716430358884e+00,1.727062468321813979e-09,1.000000000000000178e+01,2.527007683011293312e-07,1.991659716430360660e+01,1.194995829858215686e+01
2.157631359466221976e+00,1.768802723095058856e-09,1.000000000000000355e+01,2.852035062918766468e-07,2.157631359466224552e+01,1.294578815679733452e+01
2.323603002502085069e+00,1.804159651054165585e-09,9.999999999999998224e+00,3.184211768516009888e-07,2.323603002502088088e+01,1.394161801501251396e+01
2.489574645537948605e+00,1.834109452783319057e-09,1.000000000000000000e+01,3.522444455200186333e-07,2.489574645537951625e+01,1.493744787322769518e+01
2.655546288573811697e+00,1.859479038738681644e-09,9.999999999999998224e+00,3.865806983304108260e-07,2.655546288573814806e+01,1.593327773144287285e+01
2.821517931609674790e+00,1.880968860217918104e-09,9.999999999999998224e+00,4.213514847411531217e-07,2.821517931609678342e+01,1.692910758965804874e+01
2.987489574645538326e+00,1.899172248623558703e-09,1.000000000000000000e+01,4.564903516383177651e-07,2.987489574645542234e+01,1.792493744787322640e+01
