t,selected,mass,export,input_monomers,input_molecules
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.659716430358632311e-01,2.875243358603513100e-01,1.000000000000029132e+01,1.242738736998656585e-01,1.659716430358633588e+00,9.958298582151795530e-01
3.319432860717264622e-01,3.339806383197295725e-01,1.000000000000037303e+01,3.348360197432940777e-01,3.319432860717261846e+00,1.991659716430358440e+00
4.979149291075897210e-01,3.422841054635980540e-01,1.000000000000031086e+01,5.600663080418282203e-01,4.979149291075893657e+00,2.987489574645539214e+00
6.638865721434529243e-01,3.437941612775731737e-01,1.000000000000025224e+01,7.879411563921908668e-01,6.638865721434526357e+00,3.983319432860719100e+00
8.298582151793161277e-01,3.440696372771689382e-01,1.000000000000019718e+01,1.016297694488613068e+00,8.298582151793155504e+00,4.979149291075901651e+00
9.958298582151794420e-01,3.441199200865049379e-01,1.000000000000013500e+01,1.244742132545190616e+00,9.958298582151781986e+00,5.974979149291078429e+00
1.000000000000000000e+00,3.441203898057667576e-01,1.000000000000013500e+01,1.250482252375287873e+00,9.999999999999987566e+00,6.000000000000001776e+00
1.161801501251042534e+00,3.441290989776765175e-01,1.000000000000007816e+01,1.473202617034164774e+00,1.161801501251041380e+01,6.970809007506257871e+00
1.327773144286905849e+00,3.441307743552569631e-01,1.000000000000001421e+01,1.701666031750573183e+00,1.327773144286904738e+01,7.966638865721437313e+00
1.493744787322769163e+00,3.441310799960851097e-01,9.999999999999976907e+00,1.930129982143661493e+00,1.493744787322767920e+01,8.962468723936618531e+00
1.659716430358632255e+00,3.441311356157568668e-01,9.999999999999946709e+00,2.158594030970628186e+00,1.659716430358631101e+01,9.958298582151797973e+00
1.825688073394495570e+00,3.441311456029845228e-01,9.999999999999936051e+00,2.387058098318517008e+00,1.825688073394495348e+01,1.095412844036698097e+01
1.991659716430358884e+00,3.441311472775797076e-01,9.999999999999944933e+00,2.615522169510914097e+00,1.991659716430358884e+01,1.194995829858216219e+01
2.157631359466221976e+00,3.441311474551880800e-01,9.999999999999953815e+00,2.843986241795567249e+00,2.157631359466222420e+01,1.294578815679733985e+01
2.323603002502085069e+00,3.441311473786358155e-01,9.999999999999962697e+00,3.072450314609654232e+00,2.323603002502085246e+01,1.394161801501251752e+01
2.489574645537948605e+00,3.441311472722504150e-01,9.999999999999968026e+00,3.300914387799813277e+00,2.489574645537948783e+01,1.493744787322770051e+01
2.655546288573811697e+00,3.441311471745283623e-01,9.999999999999971578e+00,3.529378461295285430e+00,2.655546288573811964e+01,1.593327773144287818e+01
2.821517931609674790e+00,3.441311470903573588e-01,9.999999999999975131e+00,3.757842535046953536e+00,2.821517931609675145e+01,1.692910758965805584e+01
2.987489574645538326e+00,3.441311470188030408e-01,9.999999999999982236e+00,3.986306609015193736e+00,2.987489574645538681e+01,1.792493744787323706e+01
3.153461217681401418e+00,3.441311469581444515e-01,9.999999999999984013e+00,4.214770683166803700e+00,3.153461217681401507e+01,1.892076730608841473e+01
3.319432860717264511e+00,3.441311469067538931e-01,9.999999999999985789e+00,4.443234757473726759e+00,3.319432860717265754e+01,1.991659716430358884e+01
3.485404503753128047e+00,3.441311468632208825e-01,9.999999999999987566e+00,4.671698831912207694e+00,3.485404503753130001e+01,2.091242702251877006e+01
