t,selected,mass,export,input_monomers,input_molecules
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.659716430358632311e-01,4.301914326333282405e-10,1.000000000000000178e+01,2.948047325100620260e-09,1.659716430358632255e+00,9.958298582151794420e-01
3.319432860717264622e-01,1.137979861258925290e-09,1.000000000000000178e+01,1.131792549565202296e-08,3.319432860717264955e+00,1.991659716430359106e+00
4.979149291075897210e-01,2.302495048024228581e-09,1.000000000000000355e+01,2.457591874686647200e-08,4.979149291075898986e+00,2.987489574645537882e+00
6.638865721434529243e-01,4.218456873737315170e-09,1.000000000000000355e+01,4.246057820282426598e-08,6.638865721434532574e+00,3.983319432860716880e+00
8.298582151793161277e-01,7.370764136673198409e-09,1.000000000000000000e+01,6.506410548146418448e-08,8.298582151793164385e+00,4.979149291075897210e+00
9.958298582151794420e-01,1.255721451350808118e-08,1.000000000000000355e+01,9.298067437184754249e-08,9.958298582151801526e+00,5.974979149291081093e+00
1.000000000000000000e+00,1.272369004698192395e-08,1.000000000000000000e+01,9.376021248092627756e-08,1.000000000000000711e+01,6.000000000000004441e+00
1.161801501251042534e+00,2.109041405676879519e-08,1.000000000000000355e+01,1.275626792325337472e-07,1.161801501251043156e+01,6.970809007506259647e+00
1.327773144286905849e+00,3.512997608566644054e-08,1.000000000000000178e+01,1.713526854464198290e-07,1.327773144286906160e+01,7.966638865721440865e+00
1.493744787322769163e+00,5.822908320372331021e-08,1.000000000000000000e+01,2.288028774100475029e-07,1.493744787322769163e+01,8.962468723936623860e+00
1.659716430358632255e+00,9.623373725673818659e-08,1.000000000000000355e+01,3.074661813071738546e-07,1.659716430358631811e+01,9.958298582151805078e+00
1.825688073394495570e+00,1.587622797499162345e-07,1.000000000000000000e+01,4.199622911681393841e-07,1.825688073394493927e+01,1.095412844036698097e+01
1.991659716430358884e+00,2.616396169103730013e-07,1.000000000000000355e+01,5.872176668067472038e-07,1.991659716430356752e+01,1.194995829858215863e+01
2.157631359466221976e+00,4.309021897457418624e-07,1.000000000000000355e+01,8.438007543938753571e-07,2.157631359466220289e+01,1.294578815679733808e+01
2.323603002502085069e+00,7.093872206789325376e-07,1.000000000000000178e+01,1.246703726241633754e-06,2.323603002502083115e+01,1.394161801501251752e+01
2.489574645537948605e+00,1.167573702761149895e-06,1.000000000000000355e+01,1.889794060181040316e-06,2.489574645537947717e+01,1.493744787322769696e+01
2.655546288573811697e+00,1.921418361525968437e-06,1.000000000000000178e+01,2.927593894477639989e-06,2.655546288573810543e+01,1.593327773144287818e+01
2.821517931609674790e+00,3.161699368936751080e-06,9.999999999999998224e+00,4.614405174695047022e-06,2.821517931609673724e+01,1.692910758965805584e+01
2.987489574645538326e+00,5.202290943575589393e-06,1.000000000000000000e+01,7.368680898835482190e-06,2.987489574645538326e+01,1.792493744787323706e+01
3.153461217681401418e+00,8.559577467230653706e-06,1.000000000000000000e+01,1.187892832344129340e-05,3.153461217681402218e+01,1.892076730608840407e+01
3.319432860717264511e+00,1.408308148631839870e-05,9.999999999999998224e+00,1.927793087321857704e-05,3.319432860717265754e+01,1.991659716430358174e+01
3.485404503753128047e+00,2.317030032052898753e-05,1.000000000000000178e+01,3.142933841902857938e-05,3.485404503753127869e+01,2.091242702251876651e+01
3.651376146788991139e+00,3.811994675748958417e-05,1.000000000000000000e+01,5.139904007280006584e-05,3.651376146788989985e+01,2.190825688073394062e+01
3.817347789824854232e+00,6.271251665443592738e-05,9.999999999999996447e+00,8.423029862798261068e-05,3.817347789824854942e+01,2.290408673894911118e+01
3.983319432860717768e+00,1.031638264606290199e-04,1.000000000000000000e+01,1.382179606910850821e-04,3.983319432860721321e+01,2.389991659716429595e+01
4.149291075896580416e+00,1.696893605197814217e-04,9.999999999999998224e+00,2.270018984723257854e-04,4.149291075896582726e+01,2.489574645537947006e+01
4.315262718932443953e+00,2.790659269374873774e-04,9.999999999999998224e+00,3.730032124843577520e-04,4.315262718932445551e+01,2.589157631359464773e+01
4.481234361968307489e+00,4.588135534438432983e-04,9.999999999999998224e+00,6.130558664279709725e-04,4.481234361968309798e+01,2.688740617180982895e+01
4.647206005004170137e+00,7.539877114747648617e-04,9.999999999999998224e+00,1.007613266577034837e-03,4.647206005004171914e+01,2.788323603002500306e+01
4.813177648040033674e+00,1.238117920122014338e-03,1.000000000000000000e+01,1.655736784532338066e-03,4.813177648040036161e+01,2.887906588824018428e+01
4.979149291075897210e+00,2.030574172734611604e-03,1.000000000000000000e+01,2.719330235778035822e-03,4.979149291075901118e+01,2.987489574645536550e+01
5.145120934111759858e+00,3.323474439426031893e-03,9.999999999999998224e+00,4.461878464483557370e-03,5.145120934111763944e+01,3.087072560467053961e+01
5.311092577147623395e+00,5.421629091189529744e-03,1.000000000000000533e+01,7.309195857626237490e-03,5.311092577147626770e+01,3.186655546288572438e+01
5.477064220183486931e+00,8.797318946918958327e-03,1.000000000000000000e+01,1.194164086473269680e-02,5.477064220183489596e+01,3.286238532110091626e+01
5.643035863219349579e+00,1.415395090753446966e-02,9.999999999999996447e+00,1.942637668762381767e-02,5.643035863219353843e+01,3.385821517931608327e+01
5.809007506255213116e+00,2.247138094838992128e-02,9.999999999999998224e+00,3.138825273965121371e-02,5.809007506255218090e+01,3.485404503753125027e+01
5.974979149291076652e+00,3.496341710651613977e-02,9.999999999999996447e+00,5.018698607531729694e-02,5.974979149291081626e+01,3.584987489574643860e+01
6.140950792326939300e+00,5.282755290761066702e-02,9.999999999999989342e+00,7.900464458969677639e-02,6.140950792326943741e+01,3.684570475396161271e+01
6.306922435362802837e+00,7.668718505836660815e-02,9.999999999999994671e+00,1.216667635523408647e-01,6.306922435362805857e+01,3.784153461217677972e+01
6.472894078398666373e+00,1.058614971354875645e-01,1.000000000000003730e+01,1.820172291497026418e-01,6.472894078398670104e+01,3.883736447039195383e+01
6.638865721434529021e+00,1.380101445241313785e-01,1.000000000000014033e+01,2.628936972344763645e-01,6.638865721434532929e+01,3.983319432860712084e+01
6.804837364470392558e+00,1.697341269708290135e-01,1.000000000000026823e+01,3.651671291109908624e-01,6.804837364470395755e+01,4.082902418682231627e+01
6.970809007506256094e+00,1.979122119844988759e-01,1.000000000000022382e+01,4.874666044131001907e-01,6.970809007506260002e+01,4.182485404503750459e+01
